name,latitude,longitude
Agarwadi Bus stop,19.0458454,72.9257478
BARC Gate 6,19.0421735,72.9329888
Talao Pali,19.1943844,72.9769617
Thane Station (W),19.1870071,72.9769974
Shishu Gyan Mandir,19.1998001,72.9773091
Vandana Cinema,19.1944146,72.9704975
Parmarth Niketan,19.1947397,72.9667376
Holy Cross High School,19.2031833,72.9787954
Oswal Park,19.214908,72.9761951
Khewra Circle,19.2327205,72.9698867
Patlipada,19.2466893,72.9756162
Neelkanth Heights,19.2210702,72.960688
Shimla,18.9580671,72.8025026
V.B. Phadke Chowk,18.9423036,72.8295885
Vanrai,19.1542887,72.8571264
Peru Baug,19.1662452,72.8527827
Goregaon Check Naka 1,19.1664594,72.8564089
Goregoan Check Naka : 1,19.1654307,72.8586933
Goodluck Company,19.2636426,72.9777448
Deonar Bus Depot Stop,19.0455264,72.9106774
Deonar Bus Depot,19.0458076,72.9117996
Pradeep Society,19.1934946,72.9672874
Aradhana Cinema,19.1927169,72.9683539
"Bus #339 , 256",19.1127889,72.838226
Dhokali Naka,19.2271616,72.9802672
Makhamali Talaav,19.1983533,72.9717513
Khopat S.T. Terminus,19.2007343,72.9733089
Gaondevi,19.1888892,72.9748275
Dongaripada,19.2507342,72.9732294
Waghbil Naka,19.252939,72.9721617
"Brahmand Phase 1,2",19.2412987,72.9813729
Azad Nagar,19.2394741,72.9804978
Brahmand Nagar,19.2475499,72.9860185
Holy Spirit Hospital Stop,19.1269002,72.8672794
shivagi nagar hospital,19.0511704,72.9226495
Charkop Market,19.2156554,72.8286186
Charkop Gaon,19.2088598,72.820816
Asmita Jyoti,19.1966762,72.8274867
Plot no.1;jafri schoole,19.0676018,72.9210453
Dandpada Bus Stop,19.0750577,72.8262477
Parle Tilak,19.1033544,72.8484748
Parleshwar Mandir,19.1030172,72.845919
Parleshwar Mandir,19.1028906,72.845699
Parle Tilak,19.1032759,72.8484399
Guru Prasad Soc.,19.103509,72.8501914
Guru Prasad Soc.,19.1035446,72.8498454
Hanuman Road,19.1036685,72.8513743
Hanuman Road,19.103732,72.8514467
Hanuman Road,19.1037524,72.8528682
Hanuman Road,19.1036864,72.8531418
Rutu Estate / Municipal Commissioner House,19.2480867,72.9779885
Khadi Bhandar,18.9366238,72.833975
Parsi Colony Juhu,19.0997323,72.8276303
Khardanda,19.0747178,72.8228706
Sherli Gaon,19.0708221,72.8229438
Agarwadi Bus stop,19.0452697,72.9257952
Municipal School,19.2286267,72.96736
gadakary bus stop,19.0158884,72.9077266
Civil Court,19.1965215,72.9772907
Court Naka,19.1970281,72.9785836
bus,19.0467441,72.9077411
Nahur Railway Station,19.1545592,72.947053
Civil Hospital,19.1990126,72.977455
MHB Colony,19.2304356,72.8384919
Vartak Nagar Naka,19.2099716,72.9617643
Devdaya Nagar,19.2147003,72.9582095
Babhai Naka,19.228336,72.848131
Vazira Naka,19.2289622,72.8448146
Don Bosco School,19.22961,72.842356
Rajendra Nagar,19.220945,72.856423
Gundavali,19.120531,72.855597
