,Name,longitude,latitude
0,"ELECTRIC HOUSE, COLABA DEPOT",72.830029,18.920099
1,"COLABA BUS STATION, POST OFFICE",72.820905,18.911184
2,DHOBI GHAT (NAVY NAGAR),72.812432,18.906977
3,DR. SHYAMAPRASAD MUKHERJEE CHOWK(MUSEUM),72.831553,18.926071
4,DR. SHYAMAPRASAD MUKHERJEE CHOWK(MUSEUM),72.831582,18.926225
5,DR. SHYAMAPRASAD MUKHERJEE CHOWK(MUSEUM),72.832901,18.925783
6,DR. SHYAMAPRASAD MUKHERJEE CHOWK(MUSEUM),72.832048,18.924066
7,FOREIGN POST OFFICE,72.840318,18.935157
8,FOREIGN POST OFFICE,72.840309,18.935012
9,G.T.HOSPITAL,72.831718,18.946082
10,CHHATRAPATI SHIVAJI MAHARAJ TERMINUS (GPO),72.836604,18.938434
11,HUTATMA CHOWK,72.831785,18.933019
12,HUTATMA CHOWK,72.83135,18.931275
13,BALLARD PIER,72.840365,18.937162
14,JOHAR CHOWK (BHENDI BAZAAR),72.832421,18.958243
15,JOHAR CHOWK (BHENDI BAZAAR),72.831613,18.959001
16,JOHAR CHOWK (BHENDI BAZAAR),72.831869,18.95957
17,JOHAR CHOWK (BHENDI BAZAAR),72.831869,18.959507
18,KHADI BHANDAR,72.834326,18.937637
19,MAHATMA PHULE MARKET (CRAWFORD MARKET),72.835392,18.947169
20,MAHATMA PHULE MARKET (CRAWFORD MARKET),72.833997,18.945415
21,RAILWAY CROSSING (MANDVI),72.84616,18.95911
22,"MANDVI POST OFFICE, MINARA MASJID",72.832879,18.955732
23,HUTATMA CHOWK,72.83136,18.930796
24,HUTATMA CHOWK,72.83138,18.929703
25,OLD CUSTOM HOUSE,72.834873,18.929787
26,PILOT BUNDER,72.815832,18.90473
27,RESERVE BANK OF INDIA (FORT),72.836219,18.932651
28,"SASOON DOCK, COLABA FIRE STATION",72.826236,18.91594
29,HORNIMAN CIRCLE,72.834131,18.93153
30,STRAND CINEMA,72.827089,18.916844
31,SWADESHI MARKET,72.828886,18.949251
32,SWAMI DAYANAND SARASWATI CHOWK (FORT),72.836966,18.937043
33,SWAMI DAYANAND SARASWATI CHOWK (FORT),72.837375,18.935905
34,TADWADI (MAZGAON),72.839319,18.964454
35,MALLET BUNDER,72.847281,18.958045
36,MALLET BUNDER,72.847347,18.957963
37,VASUDEO BALWANT PHADKE CHOWK (DHOBI TALAO),72.830371,18.944997
38,VASUDEO BALWANT PHADKE CHOWK (DHOBI TALAO),72.830125,18.943055
39,SWAMI DAYANAND SARASWATI CHOWK (FORT),72.838069,18.934297
40,VIJAY VALLABH CHOWK (PYDHONIE),72.83212,18.954882
41,VIJAY VALLABH CHOWK (PYDHONIE),72.832167,18.954945
42,ZAKERIA MASJID,72.834239,18.952462
43,R.C.CHURCH (COLABA),72.813918,18.900103
44,M.T.PARK,72.811738,18.907473
45,FIRE BRIGADE,72.840253,18.947317
46,ZAKERIA MASJID,72.832918,18.954105
47,CHINCH BUNDER,72.838517,18.958283
48,MAZGAON DOCK,72.846706,18.96576
49,KHADI BHANDAR,72.834155,18.93723
