,Station Name,Latitude,Longitude,Station Code,Line,Sequence,Distance From Previous,Time From Previous,System
0,Cuffe Parade,18.9135692,72.8207152,,Aqua Line (Line 3),1,0.0,0.0,Mumbai Metro
1,Vidhan Bhavan,18.9247813,72.8254934,,Aqua Line (Line 3),2,1.0,2.0,Mumbai Metro
2,Churchgate,18.9354797,72.8271741,,Aqua Line(Line 3),3,1.0,2.0,Mumbai Metro
3,Hutatma Chowk,18.9341849,72.8325037,,Aqua Line (Line 3),4,0.5,1.0,Mumbai Metro
4,Chhatrapati Shivaji Maharaj Terminus,18.9408329,72.831861,,Aqua Line (Line 3),5,1.0,2.0,Mumbai Metro
5,Kalbadevi,18.946329,72.827193,,Aqua Line (Line 3),6,1.0,2.0,Mumbai Metro
6,Girgaon,18.9521015,72.8222065,,Aqua Line (Line 3),7,0.5,1.0,Mumbai Metro 
7,Grant Road,18.9632181,72.8180437,,Aqua Line (Line 3),8,1.5,3.0,Mumbai Metro 
8,Jagannath Shankar Sheth Metro,18.9699923,72.8211795,,Aqua Line (Line 3),9,1.0,2.0,Mumbai Metro
9,Mahalaxmi,18.979467,72.8254006,,Aqua Line (Line 3),10,0.5,1.0,Mumbai Metro 
10,Science Museum,18.9908949,72.8213521,,Aqua Line (Line 3),11,1.5,3.0,Mumbai Metro
11,Acharya Atre Chowk,18.9978202,72.8177201,,Aqua Line (Line 3),12,0.5,1.0,Mumbai Metro
12,Worli,19.0086057,72.8192741,,Aqua Line (Line 3),13,1.5,3.0,Mumbai Metro
13,Siddhivinayak Temple,19.0158935,72.8309199,,Aqua Line (Line 3),14,1.0,2.0,Mumbai Metro
14,Dadar,19.0236601,72.8392976,,Aqua Line (Line 3),15,1.0,2.0,Mumbai Metro
15,Shitala Devi Mandir,19.0384641,72.8419646,,Aqua Line (Line 3),16,1.5,3.0,Mumbai Metro
16,Dharavi,19.0462612,72.849741,,Aqua Line (Line 3),17,1.0,2.0,Mumbai Metro
17,Bandra Kurla Complex (BKC),19.0606629,72.8546797,,Aqua Line (Line 3),18,1.5,3.0,Mumbai Metro
18,Bandra Colony,19.0699627,72.8493601,,Aqua Line (Line 3),19,1.0,2.0,Mumbai Metro
19,Santacruz,19.0792887,72.8471185,,Aqua Line (Line 3),20,1.0,2.0,Mumbai Metro
20,CSMI Airport Domestic T1,19.093899,72.8535765,,Aqua Line (Line 3),21,1.0,2.0,Mumbai Metro
21,Sahar Road,19.102196,72.8652361,,Aqua Line (Line 3),22,1.5,3.0,Mumbai Metro
22,CSMT Airport International T2,19.1023335,72.8744692,,Aqua Line (Line 3),23,0.5,1.0,Mumbai Metro
23,Marol Naka (Line 3),19.1085041,72.878578,,Aqua Line (Line 3),24,1.0,2.0,Mumbai Metro
24,MIDC - Andheri,19.1173537,72.8735966,,Aqua Line (Line 3),25,1.0,2.0,Mumbai Metro
25,Seepz,19.1259985,72.8737266,,Aqua Line (Line 3),26,1.5,3.0,Mumbai Metro
26,Aarey JVLR,19.130682294038653,72.88429282434336,,Aqua Line (Line 3),27,1.0,2.0,Mumbai Metro
27,Versova,19.130252037869923,72.82137752003113,,Blue Line (Line 1),1,0.0,0.0,Mumbai Metro
28,D.N. Nagar,19.128292042548463,72.83019334577527,,Blue Line (Line 1),2,0.85,1.5,Mumbai Metro
29,Azad Nagar,19.126910150000004,72.8376484,,Blue Line (Line 1),3,0.8,1.5,Mumbai Metro
30,Andheri L1,19.1205638,72.8488433,,Blue Line (Line 1),4,2.0,4.0,Mumbai Metro
31,Western Express Highway,19.11586280440245,72.85642497801658,,Blue Line (Line 1),5,0.75,1.0,Mumbai Metro
32,Chakala,19.112035894264157,72.86762183910504,,Blue Line (Line 1),6,1.2,3.0,Mumbai Metro
33,Airport Road,19.110136485698195,72.87416726315892,,Blue Line (Line 1),7,1.0,2.0,Mumbai Metro
34,Marol Naka L1,19.10815348495978,72.87948715177897,,Blue Line (Line 1),8,0.5,1.0,Mumbai Metro
35,Saki Naka,19.10353599184645,72.88795802495136,,Blue Line (Line 1),9,1.0,2.0,Mumbai Metro
36,Asalpha,19.096422567003405,72.89487802715706,,Blue Line (Line 1),10,1.0,2.0,Mumbai Metro
37,Jagruti Nagar,19.092588492607224,72.90184159190939,,Blue Line (Line 1),11,0.8,1.0,Mumbai Metro
38,Ghatkopar,19.08663537680251,72.90805598498635,,Blue Line (Line 1),12,1.0,2.5,Mumbai Metro
39,Mumbai CSMT,18.9404925,72.8357856,CSMT/ST,Central 1,1,0.0,0.0,Mumbai Local Train
40,Masjid,18.9522949,72.8381771,MSD,Central 1,2,1.0,3.0,Mumbai Local Train
41,Sandhurst Road,18.9609243,72.8393719,SNRD,Central 1,3,1.0,2.0,Mumbai Local Train
42,Byculla,18.9766219,72.8327936,BY,Central 1,4,2.0,3.0,Mumbai Local Train
43,Chinchpokli,18.9871984,72.8326716,CHG,Central 1,5,1.0,2.0,Mumbai Local Train
44,Currey Road,18.9945514,72.8328707,CRD,Central 1,6,1.0,2.0,Mumbai Local Train
45,Parel,19.0094817,72.8376614,PR,Central 1,7,2.0,3.0,Mumbai Local Train
46,Dadar,19.0177342,72.8437523,D/DR/DDR,Central 1,8,1.0,3.0,Mumbai Local Train
47,Matunga,19.0274356,72.8501467,MTN,Central 1,9,1.0,3.0,Mumbai Local Train
48,Sion,19.0465213,72.8632834,SIN,Central 1,10,1.0,4.0,Mumbai Local Train
49,Kurla,19.06528266382214,72.87923190585366,C/CH,Central 1,11,1.0,4.0,Mumbai Local Train
50,Vidyavihar,19.0795422,72.8971169,VVH,Central 1,12,2.0,3.0,Mumbai Local Train
51,Ghatkopar,19.0856928,72.9083668,G,Central 1,13,2.0,3.0,Mumbai Local Train
52,Vikhroli,19.1114795,72.928021,VK,Central 1,14,4.0,5.0,Mumbai Local Train
53,Kanjur Marg,19.1296868,72.9283701,KJMG,Central 1,15,2.0,3.0,Mumbai Local Train
54,Bhandup,19.1438684,72.9384327,BND,Central 1,16,2.0,3.0,Mumbai Local Train
55,Nahur,19.1550738,72.9469187,NHU,Central 1,17,1.0,3.0,Mumbai Local Train
56,Mulund,19.1721762,72.9562383,MLND,Central 1,18,2.0,3.0,Mumbai Local Train
57,Thane,19.186483,72.9757664,TNA,Central 1,19,2.0,4.0,Mumbai Local Train
58,Kalva,19.1952243,72.9963331,KLVA,Central 1,20,2.0,4.0,Mumbai Local Train
59,Mumbra,19.1899425,73.0230752,MBQ,Central 1,21,3.0,6.0,Mumbai Local Train
60,Diva Junction,19.1887564,73.0414169,DIVA,Central 1,22,3.0,4.0,Mumbai Local Train
61,Kopar,19.212423,73.078865,KOPR,Central 1,23,4.0,5.0,Mumbai Local Train
62,Dombivli,19.2180493,73.0861355,DI,Central 1,24,1.0,3.0,Mumbai Local Train
63,Thakurli,19.2255622,73.0968165,THK,Central 1,25,1.0,3.0,Mumbai Local Train
64,Kalyan Junction,19.2358216,73.1308101,KYN,Central 1,26,3.0,6.0,Mumbai Local Train
65,Vithalwadi,19.228396,73.1495166,VLDI,Central 1,27,2.0,5.0,Mumbai Local Train
66,Ulhasnagar,19.2178804,73.1630778,ULNR,Central 1,28,1.0,3.0,Mumbai Local Train
67,Ambernath,19.2094131,73.1851962,ABH,Central 1,29,3.0,6.0,Mumbai Local Train
68,Badlapur,19.1666237,73.2389064,BUD,Central 1,30,7.0,8.0,Mumbai Local Train
69,Vangani,19.0943323,73.3008946,VGI,Central 1,31,11.0,9.0,Mumbai Local Train
70,Shelu,19.063516,73.3179261,SHLU,Central 1,32,4.0,4.0,Mumbai Local Train
71,Neral,19.0274308,73.3184369,NRL,Central 1,33,4.0,4.0,Mumbai Local Train
72,Bhivpuri Road,18.9705491,73.3314374,BVS,Central 1,34,7.0,7.0,Mumbai Local Train
73,Karjat,18.9099653,73.3209629,KJT/S,Central 1,35,7.0,9.0,Mumbai Local Train
74,Palasdhari,18.884354,73.3208133,PDI,Central 1,36,3.0,5.0,Mumbai Local Train
75,Kelavli,18.8453794,73.3189535,KLY,Central 1,37,5.0,7.0,Mumbai Local Train
76,Dolavli,18.8335875,73.3202705,DLV,Central 1,38,1.0,3.0,Mumbai Local Train
77,Lowjee,18.8091983,73.3354205,LWJ,Central 1,39,3.0,4.0,Mumbai Local Train
78,Khopoli,18.7885196,73.3460412,KP,Central 1,40,3.0,6.0,Mumbai Local Train
79,Mumbai CSMT,18.9404925,72.8357856,CSMT/ST,Central 2,1,0.0,0.0,Mumbai Local Train
