name,latitude,longitude,tag
Kharbhav,19.298321,72.9844677,railway:station
Dahisar,19.2493572,72.8596302,railway:station
Malad,19.1868093,72.8487584,railway:stop
Goregaon,19.1648571,72.8494067,railway:stop
Santa Cruz,19.0815223,72.8417565,railway:station
Vashi,19.0632083,72.9989644,railway:stop
"राजभवन, मुंबई",18.9410646,72.7939174,office:government
Imperial Palace,18.9447467,72.834718,tourism:hotel
Sharada,18.9461969,72.8274147,tourism:hotel
Cecil,18.958401,72.811296,tourism:hotel
Sunbeam Geeta,18.9978253,72.818454,tourism:hotel
Vivako,19.0059,72.8186,tourism:hotel
Jollyland,19.0491708,72.9051478,tourism:hotel
Ghatla,19.0517387,72.9103117,tourism:hotel
Jewel of Chembur,19.0616667,72.8997266,tourism:hotel
Maruthi Mahal,19.0636369,72.8940601,tourism:hotel
Anita Mahal,19.0693839,72.8836606,tourism:hotel
Regency,19.0790449,72.8462916,tourism:hotel
Classic,19.0835527,72.8384747,tourism:hotel
Atlantic,19.0870126,72.8274729,tourism:hotel
Ajanta,19.0886,72.8275,tourism:hotel
Royal Garden,19.0894,72.8276,tourism:hotel
Ambassador,19.103681,72.8754749,tourism:hotel
Leela Kempinski,19.1065748,72.8761199,tourism:hotel
Kumaria Presidency,19.1065999,72.8769001,tourism:hotel
Samraj,19.1097262,72.8594577,tourism:hotel
Sun n Sheel,19.1111949,72.8719322,tourism:hotel
Tirupati,19.1136052,72.8804798,tourism:hotel
Highway Inn,19.1175319,72.8508646,tourism:hotel
Tunga International,19.1154,72.872,tourism:hotel
Babul,19.1217301,72.8318524,tourism:hotel
Dolphin View,19.1437101,72.7893756,tourism:hotel
Manisha Cottage,19.1458595,72.7895646,tourism:hotel
Blue Ballerina,19.1622,72.785,tourism:hotel
Jay Prakash,19.1623,72.8513,tourism:hotel
The Resort,19.1743671,72.7963333,tourism:hotel
Anil Thakur Guest House,19.1760671,72.7966333,tourism:hotel
Rohan,19.2221778,72.8522858,tourism:hotel
Agarwadi Bus stop,19.0458454,72.9257478,highway:bus_stop
BARC Gate 6,19.0421735,72.9329888,highway:bus_stop
Thane,19.186483,72.9757664,railway:station
Mankhurd,19.0481514,72.9319058,railway:stop
seaview,19.0959916,72.8269037,tourism:hotel
