name,latitude,longitude
Dahisar,19.2493572,72.8596302
Santa Cruz,19.0815223,72.8417565
Thane,19.186483,72.9757664
Khar Road,19.0682411,72.8400412
Kanjur Marg,19.1296868,72.9283701
Vidyavihar,19.0795422,72.8971169
Lower Parel,18.99568,72.8302756
Grant Road,18.9633549,72.8158261
Chembur,19.0612128,72.8975909
Bhakti Park,19.028972,72.8775722
Wadala Depot,19.0388244,72.8740249
Sewri,18.9987796,72.8544218
Cotton Green,18.9871866,72.8438965
Mysore Colony,19.0277168,72.8914397
Mulund,19.1721762,72.9562383
King's Circle,19.0316822,72.8577375
Sandhurst Road,18.9609243,72.8393719
Dockyard Road,18.9674767,72.8445477
Reay Road,18.9775506,72.8441011
Currey Road,18.9945514,72.8328707
Chembur,19.0626319,72.9011399
Mankhurd,19.0485178,72.9323356
Nahur,19.1550738,72.9469187
Bandra,19.0549792,72.8402203
Byculla,18.9766219,72.8327936
Charni Road,18.9518437,72.8182401
Dadar,19.0177342,72.8437523
Dadar,19.0192269,72.8428479
Mahim Junction,19.0406634,72.8466038
Marine Lines,18.945764,72.8237193
Mumbai Central,18.9695855,72.8193152
Vile Parle,19.0999098,72.8440038
Bharat Petroleum,19.0352839,72.8955553
VNP & RC Marg Junction,19.0526419,72.8942789
Chuna Bhatti,19.0517703,72.8690974
Sion,19.0465213,72.8632834
Fertilizer Township,19.0438776,72.893456
Govandi,19.0553688,72.9150702
Bhandup,19.1438684,72.9384327
Borivali,19.229068,72.8573628
Kandivali,19.2041136,72.8517376
Malad,19.1867193,72.8485884
Goregaon,19.1648688,72.8495492
Prabhadevi,19.0074717,72.8358965
Chinchpokli,18.9871984,72.8326716
Parel,19.0094817,72.8376614
Tilak Nagar,19.0657855,72.8904702
Wadala Bridge,19.0174849,72.8593168
Acharya Atre Nagar,19.0236472,72.8637994
Ambedkar Nagar,19.0015921,72.8442272
Dadar East,19.0162531,72.8522274
Guru Tegh Bahadur Nagar,19.0366871,72.8707858
Sant Gadge Maharaj Chowk,18.9830921,72.8285867
Mint Colony,18.9945142,72.8433086
Naigaon,19.0095393,72.8478709
Vikhroli,19.1114795,72.928021
Churchgate,18.9354797,72.8271741
Matunga,19.0274356,72.8501467
Matunga Road,19.0278149,72.8466813
Mahalaxmi,18.9825203,72.8242196
Ghatkopar,19.0856928,72.9083668
Guru Tegh Bahadur Nagar,19.0380048,72.8643455
Dahanukarwadi,19.2062315,72.8348068
Kandivali (West),19.2140036,72.8373054
Borivali (West),19.2313925,72.8408607
Mandapeshwar - I.C. Colony,19.2495856,72.8458001
Kandarpada,19.2566337,72.850504
Anand Nagar,19.2572087,72.8663486
Shimpoli,19.2228332,72.8409432
Eksar,19.2403773,72.8434456
CSMI Airport International T2,19.1023335,72.8744692
Bandra Kurla Complex (BKC),19.0606629,72.8546797
Andheri,19.1196976,72.8464205
SEEPZ,19.1259985,72.8737266
MIDC - Andheri,19.1173537,72.8735966
Marol Naka (Line 3),19.1085041,72.878578
Ram Mandir,19.151023,72.8501467
Andheri L1,19.1205638,72.8488433
Lokmanya Tilak Terminus,19.0694658,72.8919779
Lower Parel,18.9931201,72.8314698
Teen Hath Naka Station,19.1870457,72.9615868
Dahisar (East) [Line 7],19.2506981,72.8666664
Dahisar (East) [Line 2],19.2517331,72.8673322
Aarey,19.1693242,72.8587918
Dindoshi,19.1797579,72.8582976
Kurar,19.1872999,72.8584547
Akurli,19.1981585,72.8604905
Poisar,19.2035171,72.8631041
Magathane,19.2167968,72.8668012
Devipada,19.2240357,72.8643251
Rashtriya Udyan,19.2348129,72.8630608
Ovaripada,19.2431487,72.8641377
Gundavali,19.1145125,72.8551556
Mogra,19.1284364,72.8554558
Jogeshwari (East),19.1429455,72.855185
Goregaon (East),19.1524492,72.8565966
Andheri (West),19.1291337,72.8314307
Lower Oshiwara,19.1406979,72.8317139
Oshiwara,19.1460351,72.833952
Goregaon (West),19.1530241,72.8356664
Lower Malad,19.1730984,72.8364801
Malad (West),19.1852851,72.8358611
Valnai-Meeth Chowky,19.1968293,72.8337752
Bandra Colony,19.0699627,72.8493601
Santacruz,19.0792887,72.8471185
CSMI Airport Domestic T1,19.093899,72.8535765
Sahar Road,19.102196,72.8652361
Masjid,18.9522949,72.8381771
Mumbai CSMT,18.9404925,72.8357856
Jogeshwari (Harbour Line),19.1411537,72.8494209
Jogeshwari (Western Line),19.1361144,72.848936
Bangur Nagar,19.1624723,72.8348708
Teen Hath Naka Station,19.1870891,72.9615683
Dadar,19.0236238,72.8392214
Shitala Devi Mandir,19.0384641,72.8419646
Dharavi,19.0462612,72.849741
Acharya Atre Chowk,18.9978202,72.8177201
Worli,19.0086057,72.8192741
Siddhivinayak Temple,19.0158935,72.8309199
Jagannath Shankar Sheth Metro,18.9699923,72.8211795
Mahalaxmi,18.979467,72.8254006
Science Museum,18.9908949,72.8213521
Cuffe Parade,18.9135692,72.8207152
Vidhan Bhavan,18.9247813,72.8254934
Churchgate,18.9314946,72.8269394
Hutatma Chowk,18.9341849,72.8325037
Chhatrapati Shivaji Maharaj Terminus,18.9408329,72.831861
Kalbadevi,18.946329,72.827193
Girgaon,18.9521015,72.8222065
Grant Road,18.9632181,72.8180437
Mandale,19.0495787,72.9386763
Shivaji Chowk,19.0479345,72.9069699
