route_id,route_short_name,route_long_name
10,1,R.C.CHURCH - BND RECLAMATION BUS STN.
11,1LT,COLABA BUS STN. - SANTACRUZ DEPOT
17,AS-,BACKBAY DEPOT - CADBURY JN.(THANE)
21,2LT,R.C.CHURCH - MAROL DEPOT
27,AS-,BACKBAY DEPOT - DAHISAR BUS STN.
30,3,NAVY NGR. - JIJAMATA UDN.
32,3-E,NAVY NGR. - JIJAMATA UDN.
37,AS-,NEHRU PLANETARIUM - CADBURY JN.(THANE)
41,4LT,HUTATMA CHK./MUMBAI UNIVERSITY - OSHIWARA DEPOT
43,4LT,HUTATMA CHK./MUMBAI UNIVERSITY - VESAVA-YARI RD.BUS STN.
47,AS-,BACKBAY DEPOT - OSHIWARA DEPOT
50,5,MANTRALAYA - KURLA BUS STN (E)
57,AS-,BKC TEL.EXCHANGE - CADBURY JN.(THANE)
61,6LT,COLABA DEPOT - TATA POWER CENTRE(CHEMBUR)
63,6L ,COLABA DEPOT - MAHUL VILLAGE
67,AS-,COLABA DEPOT - OSHIWARA DEPOT
71,7LT,DR.SHAMAPRASAD MUKHERJI CHK. - VIKHROLI PARK SITE
81,8LT,MANTRALAYA - SHIVAJI NGR.TERMINUS
90,9,COLABA BUS STN. - NADKARNI PARK
97,AS-,DR.SHYAMAPRASAD MUKHERJI CHK. - GHATKOPAR STN.(E)-1
101,10L,HUTATMA CHK. ( O.C.S.) - GHATKOPAR DEPOT/CASURINA
111,11L,NAVY NGR. - BANDRA CLY.BUS STN
116,SPA,NAVY NGR. - RANI LAXMIBAI CHK.
126,C-1,SANTACRUZ DEPOT - DAHISAR BUS STN.
138,A-1,BACKBAY DEPOT - HIRANANDANI EST.
139,A-1,BACKBAY DEPOT - LODHA COMPLEX
140,14,DR.SHYAMAPRASAD MUKHERJI CHK. - PRATIKSHA NGR.DEPOT
150,15,MANTRALAYA - PRATIKSHA NGR.DEPOT
161,16-,WADALA DEPOT - VASHINAKA M.M.R.D.A.CLY.
171,17L,BACKBAY DEPOT - VIDYA VIHAR BUS STN(W)
172,17 ,BACKBAY DEPOT - VIDYA VIHAR BUS STN(W)
191,19L,MANTRALAYA - SHIVAJI NGR.DEPOT
201,20L,DR.SHAMAPRASAD MUKHERJI CHK. - SHIVAJI NGR.DEPOT
211,21L,R.C.CHURCH - TROMBAY
221,22L,COLABA DEPOT - MAROL MAROSHI BUS STN.
251,25L,BACKBAY DEPOT - VIHAR LAKE
270,27,WORLI DEPOT - VAISHALI NGR.
280,28,DR.SHYAMAPRASAD MUKHERJI CHK. - J.V.P.D.BUS STN.
282,28-,SWAMI D.SARASWATI CHK. - J.V.P.D.BUS STN.
301,30L,MUMBAI CENTRAL DEPOT - VIKHROLI DEPOT
324,32 ,GOREGAON BUS STN(W) - GOREGAON BUS STN(W)
330,33,PT.PALUSKAR CHK. - GOREGAON BUS STN(W)
332,33-,WORLI DEPOT - GOREGAON BUS STN(W)
350,35,COM.P.K.KURNE CHK. - MAROL DEPOT
370,37,J.MEHTA MARG - KURLA STN (W)
380,38,JIJAMATA UDN. - GOREGAON DEPOT
390,39,COM.P.K.KURNE CHK. - SEEPZ BUS STN.
401,40L,P.THAKRE UDN.BUS STN. - BORIVLI STN(E)
410,41,FERRY WHARF - KAMLA NEHRU PARK
412,41E,FERRY WHARF - FERRY WHARF
420,42,FERRY WHARF - KAMLA NEHRU PARK
426,C-4,RANI LAXMIBAI CHK. - DADLANI PARK (THANE-W)
430,43,MAHARANA PRATAP CHK. - PRATIKSHA NGR.DEPOT
432,43-,FERRY WHARF - PRATIKSHA NGR.DEPOT
436,C-4,RANI LAXMIBAI CHK. - MUMBRA POLICE STN.
440,44,COLABA DEPOT - WORLI VILLAGE
442,44-,COLABA BUS STN. - FERRY WHARF
446,C-4,MAROL DEPOT - PAWAR NGR.BUS STN.(THANE)
450,45,MANTRALAYA - ANIK DEPOT
456,C-4,GHATKOPAR BUS STN./GKD - BRAHMAND AZAD NGR.BUS STN
460,46,FERRY WHARF - DHARAVI DEPOT
466,C-4,MAROL DEPOT - LODHA COMPLEX
480,48,FERRY WHARF - AUGUST KRANTI MAIDAN
490,49,SWAMI D.SARASWATI CHK. - NADKARNI PARK
500,50,FERRY WHARF - WORLI DEPOT
510,51,COLABA BUS STN. - SANTACRUZ DEPOT
520,052,DHARAVI DEPOT - SHRAWAN YESHWANTE CHK.
526,C-5,WADALA DEPOT - KALAMBOLI BUS STN
530,53,WORLI DEPOT - LOKMANYA TILAK TERMINUS
536,C-5,GHATKOPAR BUS STN./GKD - KALAMBOLI BUS STN
541,54-,COLABA BUS STN. - SANTACRUZ DEPOT
550,055,WORLI DEPOT - SHRAWAN YESHWANTE CHK.
560,56,WORLI VILLAGE - VESAVA-YARI RD.BUS STN.
570,57,KAMLA NEHRU PARK - P.THAKRE UDN.BUS STN.
590,59,VEER KOTWAL UDN. (PLAZA) - KURLA BUS STN (E)
600,60,MAHARANA PRATAP CHK. - KURLA BUS STN (E)
606,C-6,DEONAR DEPOT - BORIVLI STN(E)
610,61,SWAMI D.SARASWATI CHK. - MAHIM MACHHIMAR NGR.
616,C-6,MULUND DEPOT - MIRA RD.STN.(E)
620,62,MUMBAI CENTRAL DEPOT - KURLA STN (W)
630,63,J.MEHTA MARG - CHUNABHATTI BUS TERMINUS
640,64,BABULNATH - MAHESHWARI UDN.
650,65,DR.SHAMAPRASAD MUKHERJI CHK. - ANIK DEPOT
660,66,BALLARD PIER - RANI LAXMIBAI CHK.(BUS STN.)
661,66L,COLABA DEPOT - DHARAVI DEPOT
670,67,KAMLA NEHRU PARK - ANTOP HILL BUS STN.
680,68,NAVY NGR. - WORLI DEPOT
690,69,DR.SHYAMAPRASAD MUKHERJI CHK. - P.THAKRE UDN.BUS STN.
700,70,COLABA DEPOT - DHARAVI DEPOT
710,71,BYCULLA STN.(W) - RAM GANESH GADKARI CHK.
716,C-7,MAHIM BUS STN. - MIRA RD.STN.(E)
726,C-7,RANI LAXMIBAI CHK. - BHAYANDER STN.(E)
740,74,DR.SHYAMAPRASAD MUKHERJI CHK. - MAHIM BUS STN.
748,A-7,COLABA DEPOT - GOREGAON DEPOT
750,75,ANTOP HILL BUS STN. - TATA CLY.
758,A-7,COLABA DEPOT - HIRANANDANI GARDEN
760,76,MANTRALAYA - DHARAVI DEPOT
768,A-7,COLABA DEPOT - GORAI DEPOT
770,77,J.MEHTA MARG - WADALA DEPOT
778,A-7,BKC TEL.EXCHANGE - GORAI DEPOT
790,79,MAHIM BUS STN. - GORAI DEPOT
801,80L,KAMLA NEHRU PARK - J.V.P.D.BUS STN.
811,81L,MANTRALAYA - SANTACRUZ DEPOT
813,81-,SWAMI D.SARASWATI CHK. - SANTACRUZ DEPOT
820,82,MANTRALAYA - WORLI DEPOT
830,83,COLABA BUS STN. - SANTACRUZ DEPOT
841,84L,PT.PALUSKAR CHK. - OSHIWARA DEPOT
850,85,WORLD TRADE CENTRE - KURLA BUS STN (E)
852,85-,HUTATMA CHK./MUMBAI UNIVERSITY - CHUNABHATTI BUS TERMINUS
860,86,BACKBAY DEPOT - BANDRA BUS STN(W)
871,87L,MANTRALAYA - BANDRA CLY.BUS STN
880,88,MANTRALAYA - PRATIKSHA NGR.DEPOT
890,89,MANTRALAYA - WORLI DEPOT
911,91L,MUMBAI CENTRAL DEPOT - KURLA STN (W)
921,92L,WORLD TRADE CENTRE - ANUSHAKTI NGR.BUS STN.
931,93L,MANTRALAYA - GOVANDI BUS STN
1004,100,"AHILYABAI HOLKAR CHK.,EROSS CINEMA - AHILYABAI HOLKAR CHK."
1010,101,COLABA DEPOT - WALKESHWAR
1030,103,R.C.CHURCH - KAMLA NEHRU PARK
1044,104,J.MEHTA MARG - J.MEHTA MARG
1054,105,KAMLA NEHRU PARK - KAMLA NEHRU PARK
1060,106,R.C.CHURCH - KAMLA NEHRU PARK
1062,106,R.C.CHURCH - AHILYABAI HOLKAR CHK.
1080,108,CHH. SHIVAJI TERMINUS(BHATIA) - KAMLA NEHRU PARK
1082,108,CHH. SHIVAJI TERMINUS(BHATIA) - KAMLA NEHRU PARK
1100,110,COM.P.K.KURNE CHK. - SANGAM NGR.
1114,111,CHH. SHIVAJI TERMINUS(BHATIA) - CHH. SHIVAJI TERMINUS(BHATIA)
1210,121,BACKBAY DEPOT - J.MEHTA MARG
1220,122,BALLARD PIER - J.MEHTA MARG
1230,123,R.C.CHURCH - VASANTRAO NAIK CHK.
1240,124,COLABA BUS STN. - WORLI DEPOT
1250,125,NAVY NGR. - WORLI VILLAGE
1260,126,MANTRALAYA - JIJAMATA UDN.
1300,130,DR.SHAMAPRASAD MUKHERJI CHK. - VASANTRAO NAIK CHK.
1324,132,COLABA BUS STN. - COLABA BUS STN.
1334,133,COLABA BUS STN. - COLABA BUS STN.
1340,134,BACKBAY DEPOT - P.THAKRE UDN.BUS STN.
