route_id,trip_id
3070,3070_4654_SUN_UP
3070,3070_4654_SUN_DOWN
3070,3070_4656_MS_UP
3070,3070_4656_MS_DOWN
3050,3050_4650_MS_UP
3050,3050_4650_MS_DOWN
3070,3070_4655_HOL_UP
3070,3070_4655_HOL_DOWN
3050,3050_4651_SH_UP
3050,3050_4651_SH_DOWN
3050,3050_4652_MS_UP
3050,3050_4652_MS_DOWN
3050,3050_4653_MS_UP
3050,3050_4653_MS_DOWN
2622,2622_4657_FW_UP
2622,2622_4657_FW_DOWN
2622,2622_4658_FW_UP
2622,2622_4658_FW_DOWN
3301,3301_3230_MS_UP
3301,3301_3230_MS_DOWN
3450,3450_3232_MS_UP
3450,3450_3232_MS_DOWN
3460,3460_3234_SUN_UP
3460,3460_3234_SUN_DOWN
3460,3460_3235_HOL_UP
3460,3460_3235_HOL_DOWN
3460,3460_3236_MS_UP
3460,3460_3236_MS_DOWN
3400,3400_3240_SUN_UP
3400,3400_3240_SUN_DOWN
3400,3400_3242_HOL_UP
3400,3400_3242_HOL_DOWN
3400,3400_3244_MS_UP
3400,3400_3244_MS_DOWN
3430,3430_3250_MS_UP
3430,3430_3250_MS_DOWN
21,0021_3221_HOL_UP
21,0021_3221_HOL_DOWN
21,0021_3216_SUN_UP
21,0021_3216_SUN_DOWN
21,0021_3217_HOL_UP
21,0021_3217_HOL_DOWN
3450,3450_3233_MS_UP
3450,3450_3233_MS_DOWN
21,0021_3211_MF&HOL_UP
21,0021_3211_MF&HOL_DOWN
21,0021_3212_SAT_UP
21,0021_3212_SAT_DOWN
21,0021_3213_SUN_UP
21,0021_3213_SUN_DOWN
21,0021_3218_MS_UP
21,0021_3218_MS_DOWN
3400,3400_3241_SUN_UP
3400,3400_3241_SUN_DOWN
21,0021_3214_MF&HOL_UP
21,0021_3214_MF&HOL_DOWN
1640,1640_3224_MS_UP
1640,1640_3224_MS_DOWN
3400,3400_3243_MS&HOL_UP
3400,3400_3243_MS&HOL_DOWN
21,0021_3215_SAT_UP
21,0021_3215_SAT_DOWN
3460,3460_3238_HOL_UP
3460,3460_3238_HOL_DOWN
3301,3301_3229_SH_UP
3301,3301_3229_SH_DOWN
2914,2914_3226_MS&HOL_UP
2914,2914_3226_MS&HOL_DOWN
1640,1640_3223_MS_UP
1640,1640_3223_MS_DOWN
3450,3450_3231_SH_UP
3450,3450_3231_SH_DOWN
2914,2914_3225_MS&HOL_UP
2914,2914_3225_MS&HOL_DOWN
3460,3460_3237_SUN_UP
3460,3460_3237_SUN_DOWN
3410,3410_3245_MS_UP
3410,3410_3245_MS_DOWN
2854,2854_3227_MS_UP
2854,2854_3227_MS_DOWN
3460,3460_3239_MS_UP
3460,3460_3239_MS_DOWN
3410,3410_3246_SH_UP
3410,3410_3246_SH_DOWN
2854,2854_3228_MS_UP
2854,2854_3228_MS_DOWN
3420,3420_3247_FW_UP
3420,3420_3247_FW_DOWN
3430,3430_3248_SUN_UP
3430,3430_3248_SUN_DOWN
3430,3430_3249_HOL_UP
3430,3430_3249_HOL_DOWN
3430,3430_3251_SH_UP
3430,3430_3251_SH_DOWN
1080,1080_3387_MS_UP
1080,1080_3387_MS_DOWN
3430,3430_3252_MS_UP
3430,3430_3252_MS_DOWN
1640,1640_3222_SH_UP
1640,1640_3222_SH_DOWN
3490,3490_3253_SH_UP
3490,3490_3253_SH_DOWN
21,0021_3220_MS_UP
21,0021_3220_MS_DOWN
21,0021_3219_SUN_UP
21,0021_3219_SUN_DOWN
21,0021_3210_SUN_UP
21,0021_3210_SUN_DOWN
111,0111_3256_HOL_UP
111,0111_3256_HOL_DOWN
111,0111_3257_MF_UP
111,0111_3257_MF_DOWN
111,0111_3258_SAT_UP
111,0111_3258_SAT_DOWN
2980,2980_3309_SH_UP
2980,2980_3309_SH_DOWN
2930,2930_3319_MS&HOL_UP
2930,2930_3319_MS&HOL_DOWN
2044,2044_3320_SUN_UP
2044,2044_3320_SUN_DOWN
111,0111_3262_MF_UP
111,0111_3262_MF_DOWN
111,0111_3259_SUN_UP
111,0111_3259_SUN_DOWN
111,0111_3261_HOL_UP
111,0111_3261_HOL_DOWN
111,0111_3263_MF_UP
111,0111_3263_MF_DOWN
3211,3211_3268_MS_UP
3211,3211_3268_MS_DOWN
111,0111_3264_SAT_UP
111,0111_3264_SAT_DOWN
111,0111_3266_SUN_UP
111,0111_3266_SUN_DOWN
3211,3211_3269_SH_UP
3211,3211_3269_SH_DOWN
3211,3211_3270_MS_UP
3211,3211_3270_MS_DOWN
3551,3551_3273_SH_UP
3551,3551_3273_SH_DOWN
3551,3551_3277_MS_UP
3551,3551_3277_MS_DOWN
4941,4941_3272_MS_UP
4941,4941_3272_MS_DOWN
4941,4941_3271_SH_UP
4941,4941_3271_SH_DOWN
3551,3551_3274_MS_UP
3551,3551_3274_MS_DOWN
3551,3551_3279_MS_UP
3551,3551_3279_MS_DOWN
3551,3551_3278_SH_UP
3551,3551_3278_SH_DOWN
3551,3551_3280_SUN_UP
3551,3551_3280_SUN_DOWN
3027,3027_3288_SUN_UP
3027,3027_3288_SUN_DOWN
401,0401_3282_MS&HOL_UP
401,0401_3282_MS&HOL_DOWN
401,0401_3284_MS&HOL_UP
401,0401_3284_MS&HOL_DOWN
401,0401_3281_MS&HOL_UP
401,0401_3281_MS&HOL_DOWN
3027,3027_3289_MF_UP
3027,3027_3289_MF_DOWN
3027,3027_3291_SAT&HOL_UP
3027,3027_3291_SAT&HOL_DOWN
3027,3027_3292_SAT&HOL_UP
3027,3027_3292_SAT&HOL_DOWN
3027,3027_3293_SUN_UP
3027,3027_3293_SUN_DOWN
401,0401_3286_SUN_UP
401,0401_3286_SUN_DOWN
401,0401_3287_SH_UP
401,0401_3287_SH_DOWN
5171,5171_3301_MS_UP
5171,5171_3301_MS_DOWN
3027,3027_3294_MF_UP
3027,3027_3294_MF_DOWN
3027,3027_3297_SAT&HOL_UP
3027,3027_3297_SAT&HOL_DOWN
4617,4617_3298_SUN_UP
4617,4617_3298_SUN_DOWN
4617,4617_3300_MS&HOL_UP
4617,4617_3300_MS&HOL_DOWN
5171,5171_3302_SH_UP
5171,5171_3302_SH_DOWN
5171,5171_3303_MS_UP
5171,5171_3303_MS_DOWN
5171,5171_3306_MS_UP
5171,5171_3306_MS_DOWN
5171,5171_3308_SH_UP
5171,5171_3308_SH_DOWN
7071,7071_3316_MS_UP
7071,7071_3316_MS_DOWN
5171,5171_3307_SH_UP
5171,5171_3307_SH_DOWN
2950,2950_3317_MS&HOL_UP
2950,2950_3317_MS&HOL_DOWN
4310,4310_3456_MS_UP
4310,4310_3456_MS_DOWN
2980,2980_3310_MS_UP
2980,2980_3310_MS_DOWN
2970,2970_3312_SH_UP
2970,2970_3312_SH_DOWN
2970,2970_3313_MS_UP
2970,2970_3313_MS_DOWN
7071,7071_3314_SH_UP
7071,7071_3314_SH_DOWN
2044,2044_3321_MS_UP
2044,2044_3321_MS_DOWN
7071,7071_3315_MS_UP
7071,7071_3315_MS_DOWN
2930,2930_3318_SUN_UP
2930,2930_3318_SUN_DOWN
536,0536_3322_SH_UP
536,0536_3322_SH_DOWN
111,0111_3255_SUN_UP
111,0111_3255_SUN_DOWN
2700,2700_3329_FW_UP
2700,2700_3329_FW_DOWN
6074,6074_3335_SUN_UP
6074,6074_3335_SUN_DOWN
6074,6074_3336_HOL_UP
6074,6074_3336_HOL_DOWN
6074,6074_3337_MS_UP
6074,6074_3337_MS_DOWN
2760,2760_3342_MF_UP
2760,2760_3342_MF_DOWN
2760,2760_3343_SAT_UP
2760,2760_3343_SAT_DOWN
2770,2770_3344_SUN_UP
2770,2770_3344_SUN_DOWN
2770,2770_3345_MS_UP
2770,2770_3345_MS_DOWN
2770,2770_3350_HOL_UP
2770,2770_3350_HOL_DOWN
2790,2790_3351_SH_UP
2790,2790_3351_SH_DOWN
2790,2790_3352_MS_UP
2790,2790_3352_MS_DOWN
2444,2444_3353_MF_UP
2444,2444_3353_MF_DOWN
2444,2444_3357_SH_UP
2444,2444_3357_SH_DOWN
2444,2444_3358_SAT_UP
2444,2444_3358_SAT_DOWN
1334,1334_3362_MS_UP
1334,1334_3362_MS_DOWN
4430,4430_3370_MS_UP
4430,4430_3370_MS_DOWN
4420,4420_3372_MS_UP
4420,4420_3372_MS_DOWN
4460,4460_3378_MS&HOL_UP
4460,4460_3378_MS&HOL_DOWN
5247,5247_3324_FW_UP
5247,5247_3324_FW_DOWN
5247,5247_3325_FW_UP
5247,5247_3325_FW_DOWN
5257,5257_3327_SAT&HOL_UP
5257,5257_3327_SAT&HOL_DOWN
6074,6074_3338_MS_UP
6074,6074_3338_MS_DOWN
5257,5257_3328_SUN_UP
5257,5257_3328_SUN_DOWN
2710,2710_3330_FW_UP
2710,2710_3330_FW_DOWN
2021,2021_3333_HOL_UP
2021,2021_3333_HOL_DOWN
2710,2710_3331_SH_UP
2710,2710_3331_SH_DOWN
2021,2021_3334_MS_UP
2021,2021_3334_MS_DOWN
2760,2760_3340_SUN_UP
2760,2760_3340_SUN_DOWN
6074,6074_3339_MS_UP
6074,6074_3339_MS_DOWN
2444,2444_3355_MF_UP
2444,2444_3355_MF_DOWN
2760,2760_3341_HOL_UP
2760,2760_3341_HOL_DOWN
2770,2770_3347_HOL_UP
2770,2770_3347_HOL_DOWN
2770,2770_3348_MS_UP
2770,2770_3348_MS_DOWN
2444,2444_3354_MF_UP
2444,2444_3354_MF_DOWN
2444,2444_3356_SAT_UP
2444,2444_3356_SAT_DOWN
4354,4354_3367_MS_UP
4354,4354_3367_MS_DOWN
1334,1334_3360_SUN_UP
1334,1334_3360_SUN_DOWN
4354,4354_3366_HOL_UP
4354,4354_3366_HOL_DOWN
1080,1080_3379_SUN_UP
1080,1080_3379_SUN_DOWN
1334,1334_3361_HOL_UP
1334,1334_3361_HOL_DOWN
1080,1080_3380_HOL_UP
1080,1080_3380_HOL_DOWN
2140,2140_3364_SH_UP
2140,2140_3364_SH_DOWN
2140,2140_3365_MS_UP
2140,2140_3365_MS_DOWN
1080,1080_3382_SUN_UP
1080,1080_3382_SUN_DOWN
7101,7101_3368_FW_UP
7101,7101_3368_FW_DOWN
4420,4420_3371_SH_UP
4420,4420_3371_SH_DOWN
4430,4430_3369_SH_UP
4430,4430_3369_SH_DOWN
3004,3004_3376_MS_UP
3004,3004_3376_MS_DOWN
4410,4410_3373_SH_UP
4410,4410_3373_SH_DOWN
4410,4410_3374_MS_UP
4410,4410_3374_MS_DOWN
4460,4460_3377_SUN_UP
4460,4460_3377_SUN_DOWN
1080,1080_3383_HOL_UP
1080,1080_3383_HOL_DOWN
1080,1080_3384_MS_UP
1080,1080_3384_MS_DOWN
1080,1080_3381_MS_UP
1080,1080_3381_MS_DOWN
1080,1080_3385_SUN_UP
1080,1080_3385_SUN_DOWN
1030,1030_3393_SH_UP
